iter	Passed	Remaining
0	144	144187
1	144	72294
2	145	48314
3	145	36311
4	146	29159
5	147	24372
6	147	20938
7	148	18359
8	148	16352
9	148	14746
10	149	13432
11	149	12337
12	150	11410
13	150	10618
14	151	9930
15	151	9327
16	152	8795
17	152	8323
18	153	7899
19	153	7519
20	153	7174
21	154	6861
22	154	6575
23	155	6321
24	156	6086
25	156	5869
26	157	5668
27	157	5479
28	158	5302
29	158	5136
30	159	4980
31	159	4834
32	160	4696
33	160	4567
34	161	4444
35	161	4329
36	162	4219
37	162	4116
38	163	4018
39	163	3924
40	163	3835
41	164	3751
42	164	3670
43	165	3593
44	165	3519
45	166	3448
46	166	3380
47	167	3315
48	167	3256
49	168	3196
50	168	3139
51	169	3083
52	169	3030
53	170	2978
54	170	2929
55	170	2881
56	171	2835
57	171	2790
58	172	2747
59	172	2705
60	173	2665
61	173	2626
62	174	2588
63	174	2551
64	174	2516
65	175	2481
66	175	2448
67	176	2413
68	176	2381
69	176	2351
70	177	2321
71	177	2293
72	178	2264
73	178	2237
74	179	2210
75	179	2184
76	180	2159
77	180	2134
78	181	2112
79	181	2088
80	182	2065
81	182	2043
82	182	2021
83	183	2000
84	183	1977
85	184	1957
86	184	1935
87	184	1916
88	185	1897
89	185	1878
90	186	1860
91	186	1842
92	187	1825
93	187	1808
94	188	1791
95	188	1774
96	188	1758
97	189	1742
98	189	1727
99	190	1712
100	190	1697
101	190	1681
102	191	1666
103	191	1652
104	192	1638
105	192	1625
106	193	1612
107	193	1598
108	194	1586
109	194	1573
110	195	1562
111	195	1552
112	196	1541
113	196	1530
114	197	1518
115	197	1506
116	198	1495
117	198	1484
118	198	1473
119	199	1462
120	199	1452
121	200	1441
122	200	1430
123	201	1420
124	201	1410
125	201	1400
126	202	1390
127	202	1380
128	203	1371
129	203	1362
130	204	1353
131	204	1344
132	204	1335
133	205	1327
134	205	1318
135	206	1310
136	206	1302
137	207	1293
138	207	1285
139	207	1277
140	208	1270
141	208	1262
142	209	1255
143	209	1247
144	210	1240
145	210	1233
146	211	1225
147	211	1218
148	212	1211
149	212	1204
150	213	1197
151	213	1190
152	213	1184
153	214	1177
154	214	1171
155	215	1164
156	215	1158
157	216	1151
158	216	1145
159	217	1139
160	217	1133
161	217	1127
162	218	1121
163	218	1115
164	219	1109
165	219	1103
166	220	1098
167	220	1092
168	220	1086
169	221	1081
170	221	1075
171	222	1070
172	222	1065
173	223	1060
174	223	1055
175	224	1050
176	224	1045
177	225	1040
178	225	1035
179	226	1030
180	226	1024
181	226	1019
182	227	1014
183	227	1009
184	228	1004
185	228	1000
186	228	995
187	229	990
188	229	986
189	230	981
190	230	977
191	231	972
192	231	968
193	232	964
194	232	959
195	232	955
196	233	951
197	233	947
198	234	943
199	234	938
200	235	934
201	235	931
202	236	928
203	236	924
204	237	920
205	237	916
206	238	913
207	238	909
208	239	905
209	239	902
210	240	898
211	240	894
212	241	891
213	241	887
214	242	884
215	242	880
216	243	877
217	243	873
218	244	870
219	244	867
220	245	863
221	245	860
222	245	856
223	246	853
224	246	850
225	247	847
226	247	843
227	248	840
228	248	837
229	249	834
230	249	831
231	250	829
232	250	826
233	251	823
234	252	820
235	252	817
236	252	814
237	253	811
238	253	808
239	254	805
240	254	802
241	255	799
242	255	796
243	256	794
244	256	791
245	257	788
246	257	785
247	258	782
248	258	779
249	259	777
250	259	774
251	259	771
252	260	768
253	260	766
254	261	763
255	261	760
256	262	758
257	263	756
258	263	754
259	264	751
260	264	749
261	265	746
262	265	744
263	266	742
264	266	739
265	267	737
266	267	735
267	268	732
268	268	730
269	269	727
270	269	725
271	270	723
272	270	720
273	271	718
274	271	715
275	272	713
276	272	711
277	272	708
278	273	706
279	273	704
280	274	702
281	274	699
282	275	697
283	275	695
284	276	693
285	277	691
286	277	689
287	278	687
288	278	685
289	279	683
290	279	681
291	280	679
292	280	677
293	281	675
294	281	673
295	282	671
296	282	669
297	283	667
298	283	665
299	284	663
300	284	661
301	285	659
302	285	657
303	286	655
304	286	653
305	287	651
306	287	650
307	288	648
308	289	646
309	289	644
310	290	643
311	290	641
312	291	639
313	291	637
314	292	635
315	292	633
316	293	632
317	293	630
318	294	628
319	294	626
320	295	624
321	295	622
322	296	620
323	296	619
324	297	617
325	297	615
326	298	613
327	298	612
328	299	610
329	299	608
330	300	606
331	300	605
332	301	603
333	301	601
334	302	600
335	303	599
336	304	598
337	304	597
338	305	596
339	306	594
340	306	593
341	307	591
342	308	590
343	308	589
344	309	587
345	309	585
346	310	584
347	310	582
348	311	580
349	311	579
350	312	577
351	312	575
352	313	574
353	313	572
354	314	571
355	314	569
356	315	567
357	315	566
358	316	565
359	317	563
360	317	562
361	318	560
362	318	559
363	319	558
364	319	556
365	320	555
366	321	553
367	321	552
368	322	551
369	322	549
370	323	548
371	324	547
372	324	545
373	325	544
374	325	542
375	326	541
376	326	540
377	327	538
378	328	537
379	329	537
380	330	536
381	330	535
382	331	533
383	331	532
384	332	531
385	332	529
386	333	528
387	334	526
388	334	525
389	335	524
390	335	522
391	336	521
392	336	519
393	337	518
394	337	517
395	338	515
396	338	514
397	339	513
398	339	511
399	340	510
400	341	509
401	341	508
402	342	507
403	343	506
404	343	504
405	344	503
406	344	502
407	345	501
408	346	500
409	346	498
410	347	497
411	347	496
412	348	494
413	348	493
414	349	492
415	350	491
416	350	490
417	351	489
418	352	488
419	352	487
420	353	486
421	354	484
422	354	484
423	355	482
424	355	481
425	356	480
426	357	479
427	357	478
428	358	476
429	358	475
430	359	474
431	359	473
432	360	471
433	360	470
434	361	469
435	362	468
436	362	467
437	363	466
438	363	464
439	364	463
440	365	462
441	365	461
442	366	460
443	366	459
444	367	458
445	368	457
446	368	456
447	369	455
448	370	454
449	370	453
450	371	451
451	371	450
452	372	449
453	373	448
454	374	448
455	374	447
456	375	446
457	376	445
458	376	444
459	377	443
460	378	442
461	378	440
462	379	439
463	379	438
464	380	437
465	380	436
466	381	435
467	382	434
468	383	433
469	383	432
470	384	431
471	384	430
472	385	429
473	385	428
474	386	426
475	386	425
476	387	424
477	388	423
478	388	422
479	389	421
480	389	420
481	390	419
482	390	418
483	391	417
484	391	415
485	392	414
486	392	413
487	393	412
488	394	411
489	394	410
490	395	410
491	396	409
492	396	408
493	397	407
494	397	406
495	398	404
496	399	403
497	399	402
498	400	402
499	400	400
500	401	399
501	401	398
502	402	397
503	402	396
504	403	395
505	403	394
506	404	393
507	405	392
508	405	391
509	406	390
510	406	389
511	407	388
512	408	387
513	408	386
514	409	385
515	409	384
516	410	383
517	410	382
518	411	381
519	412	380
520	412	379
521	413	378
522	413	377
523	414	376
524	414	375
525	415	374
526	415	373
527	416	372
528	417	371
529	417	370
530	418	369
531	418	368
532	419	367
533	420	366
534	420	365
535	421	364
536	421	363
537	422	362
538	422	361
539	423	360
540	424	359
541	424	358
542	425	357
